TaskNo,PartNo,MousePointX,MousePointY,Time
1,1,734,320,1182
1,1,733,322,1183
1,1,733,322,1184
1,1,733,322,1185
1,1,733,322,1186
1,1,733,322,1187
1,1,733,322,1188
1,1,733,322,1189
1,1,733,322,1190
1,1,731,325,1191
1,1,731,325,1192
1,1,731,325,1193
1,1,731,325,1194
1,1,731,325,1195
1,1,731,325,1196
1,1,731,325,1197
1,1,731,327,1198
1,1,729,327,1200
1,1,729,327,1201
1,1,729,327,1202
1,1,729,327,1203
1,1,729,327,1204
1,1,729,327,1205
1,1,729,327,1206
1,1,728,329,1207
1,1,728,329,1208
1,1,728,329,1209
1,1,728,329,1210
1,1,728,329,1211
1,1,728,329,1212
1,1,728,329,1213
1,1,728,329,1214
1,1,727,331,1215
1,1,727,331,1216
1,1,727,331,1217
1,1,727,331,1218
1,1,727,331,1219
1,1,727,331,1220
1,1,727,331,1221
1,1,727,331,1222
1,1,726,333,1223
1,1,726,333,1224
1,1,726,333,1225
1,1,726,333,1226
1,1,726,333,1227
1,1,726,333,1228
1,1,726,333,1229
1,1,726,333,1230
1,1,724,335,1231
1,1,724,335,1232
1,1,724,335,1233
1,1,724,335,1234
1,1,724,335,1235
1,1,724,335,1236
1,1,724,335,1237
1,1,724,335,1238
1,1,724,337,1239
1,1,724,337,1240
1,1,724,337,1241
1,1,724,337,1242
1,1,724,337,1243
1,1,724,337,1244
1,1,724,337,1245
1,1,724,337,1246
1,1,722,338,1247
1,1,722,338,1248
1,1,722,338,1249
1,1,722,338,1250
1,1,722,338,1251
1,1,722,338,1252
1,1,722,338,1253
1,1,722,338,1254
1,1,721,341,1255
1,1,721,341,1256
1,1,721,341,1257
1,1,721,341,1258
1,1,721,341,1259
1,1,721,341,1260
1,1,721,341,1261
1,1,721,341,1262
1,1,721,343,1263
1,1,721,343,1264
1,1,721,343,1265
1,1,721,343,1266
1,1,721,343,1267
1,1,721,343,1268
1,1,721,343,1269
1,1,721,343,1270
1,1,719,345,1271
1,1,719,345,1272
1,1,719,345,1273
1,1,719,345,1274
1,1,719,345,1275
1,1,719,345,1276
1,1,719,345,1277
1,1,719,345,1278
1,1,719,347,1279
1,1,719,347,1280
1,1,719,347,1281
1,1,719,347,1282
1,1,719,347,1283
1,1,719,347,1284
1,1,719,347,1285
1,1,719,347,1286
1,1,717,351,1287
1,1,717,351,1288
1,1,717,351,1289
1,1,717,351,1290
1,1,717,351,1291
1,1,717,351,1292
1,1,717,351,1293
1,1,717,351,1294
1,1,716,352,1296
1,1,716,352,1297
1,1,716,352,1298
1,1,716,352,1299
1,1,716,352,1300
1,1,716,352,1301
1,1,716,352,1302
1,1,715,355,1303
1,1,715,355,1304
1,1,715,355,1305
1,1,715,355,1306
1,1,715,355,1307
1,1,715,355,1308
1,1,715,355,1309
1,1,715,355,1310
1,1,713,358,1311
1,1,713,358,1312
1,1,713,358,1313
1,1,713,358,1314
1,1,713,358,1315
1,1,713,358,1316
1,1,713,358,1317
1,1,713,358,1318
1,1,713,362,1319
1,1,712,362,1320
1,1,712,362,1321
1,1,712,362,1322
1,1,712,362,1323
1,1,712,362,1324
1,1,712,362,1325
1,1,712,362,1326
1,1,710,366,1327
1,1,710,366,1328
1,1,710,366,1329
1,1,710,366,1330
1,1,710,366,1331
1,1,710,366,1332
1,1,710,366,1333
1,1,710,366,1334
1,1,708,369,1335
1,1,708,369,1336
1,1,708,369,1337
1,1,708,369,1338
1,1,708,369,1339
1,1,708,369,1340
1,1,708,369,1341
1,1,707,373,1342
1,1,707,373,1343
1,1,707,373,1344
1,1,707,373,1345
1,1,707,373,1346
1,1,707,373,1347
1,1,707,373,1348
1,1,707,373,1349
1,1,707,373,1350
1,1,706,375,1351
1,1,706,375,1352
1,1,706,375,1353
1,1,706,375,1354
1,1,706,375,1355
1,1,706,375,1356
1,1,706,375,1357
1,1,706,375,1358
1,1,704,377,1359
1,1,704,377,1360
1,1,704,377,1361
1,1,704,377,1362
1,1,704,377,1363
1,1,704,377,1364
1,1,704,377,1365
1,1,704,377,1366
1,1,703,379,1367
1,1,703,379,1368
1,1,703,379,1369
1,1,703,379,1370
1,1,703,379,1371
1,1,703,379,1372
1,1,703,379,1373
1,1,703,379,1374
1,1,701,381,1375
1,1,701,381,1376
1,1,701,381,1377
1,1,701,381,1378
1,1,701,381,1379
1,1,701,381,1380
1,1,701,381,1381
1,1,701,381,1382
1,1,701,384,1383
1,1,701,384,1384
1,1,701,384,1385
1,1,701,384,1386
1,1,701,384,1387
1,1,701,384,1388
1,1,701,384,1389
1,1,701,384,1390
1,1,699,385,1391
1,1,699,385,1392
1,1,699,385,1393
1,1,699,385,1394
1,1,699,385,1395
1,1,699,385,1396
1,1,699,385,1397
1,1,699,385,1398
1,1,698,388,1399
1,1,698,388,1400
1,1,698,388,1401
1,1,698,388,1402
1,1,698,388,1403
1,1,698,388,1404
1,1,698,388,1405
1,1,698,388,1406
1,1,697,391,1407
1,1,697,391,1408
1,1,697,391,1409
1,1,697,391,1410
1,1,697,391,1411
1,1,697,391,1412
1,1,697,391,1413
1,1,697,391,1414
1,1,696,392,1415
1,1,696,392,1416
1,1,696,392,1417
1,1,696,392,1418
1,1,696,392,1419
1,1,696,392,1420
1,1,696,392,1421
1,1,696,392,1422
1,1,695,394,1423
1,1,695,394,1424
1,1,695,394,1425
1,1,695,394,1426
1,1,695,394,1427
1,1,695,394,1428
1,1,695,394,1429
1,1,695,394,1430
1,1,694,397,1431
1,1,694,397,1432
1,1,694,397,1433
1,1,694,397,1434
1,1,694,397,1435
1,1,694,397,1436
1,1,694,397,1437
1,1,693,399,1438
1,1,693,399,1439
1,1,693,399,1440
1,1,693,399,1441
1,1,693,399,1442
1,1,693,399,1443
1,1,693,399,1444
1,1,693,399,1445
1,1,693,399,1446
1,1,692,402,1447
1,1,692,402,1448
1,1,692,402,1449
1,1,692,402,1450
1,1,692,402,1451
1,1,692,402,1452
1,1,692,402,1453
1,1,692,402,1454
1,1,690,405,1455
1,1,690,405,1456
1,1,690,405,1457
1,1,690,405,1458
1,1,690,405,1459
1,1,690,405,1460
1,1,690,405,1461
1,1,690,405,1462
1,1,688,408,1463
1,1,688,408,1464
1,1,688,408,1465
1,1,688,408,1466
1,1,688,408,1467
1,1,688,408,1468
1,1,688,408,1469
1,1,688,408,1470
1,1,687,411,1471
1,1,687,411,1472
1,1,687,411,1473
1,1,687,411,1474
1,1,687,411,1475
1,1,687,411,1476
1,1,687,411,1477
1,1,687,411,1478
1,1,685,414,1479
1,1,685,414,1480
1,1,685,414,1481
1,1,685,414,1482
1,1,685,414,1483
1,1,685,414,1484
1,1,685,414,1485
1,1,685,414,1486
1,1,683,417,1487
1,1,683,417,1488
1,1,683,417,1489
1,1,683,417,1490
1,1,683,417,1491
1,1,683,417,1492
1,1,683,417,1493
1,1,683,417,1494
1,1,682,420,1495
1,1,682,420,1496
1,1,682,420,1497
1,1,682,420,1498
1,1,682,420,1499
1,1,682,420,1500
1,1,682,420,1501
1,1,682,420,1502
1,1,679,423,1503
1,1,679,423,1504
1,1,679,423,1505
1,1,679,423,1506
1,1,679,423,1507
1,1,679,423,1508
1,1,679,423,1509
1,1,679,423,1510
1,1,677,427,1511
1,1,677,427,1512
1,1,677,427,1513
1,1,677,427,1514
1,1,677,427,1515
1,1,677,427,1516
1,1,677,427,1517
1,1,677,427,1518
1,1,676,430,1519
1,1,676,430,1520
1,1,676,430,1521
1,1,676,430,1522
1,1,676,430,1523
1,1,676,430,1524
1,1,676,430,1525
1,1,676,430,1526
