TaskNo,PartNo,GazePointX,GazePointY,Time
1,1,1182,723,3143
1,1,1182,726,3146
1,1,1179,727,3149
1,1,1181,726,3153
1,1,1183,723,3156
1,1,1184,716,3159
1,1,1179,717,3163
1,1,1180,722,3166
1,1,1181,712,3169
1,1,1179,725,3173
1,1,1182,722,3176
1,1,1182,717,3179
1,1,1179,715,3183
1,1,1179,718,3186
1,1,1177,726,3189
1,1,1181,727,3193
1,1,1179,722,3196
1,1,1180,724,3199
1,1,1178,727,3203
1,1,1181,717,3206
1,1,1180,723,3209
1,1,1181,722,3213
1,1,1182,723,3216
1,1,1177,727,3219
1,1,1181,721,3223
1,1,1181,721,3226
1,1,1183,713,3229
1,1,1180,720,3233
1,1,1180,713,3236
1,1,1180,720,3239
1,1,1173,727,3243
1,1,1178,718,3246
1,1,1177,727,3249
1,1,1179,713,3253
1,1,1177,722,3256
1,1,1180,715,3259
1,1,1178,718,3263
1,1,1180,727,3266
1,1,1180,724,3269
1,1,1180,715,3273
1,1,1182,721,3276
1,1,1180,713,3279
1,1,1182,729,3283
1,1,1181,721,3286
1,1,1177,723,3289
1,1,1179,723,3293
1,1,1178,715,3296
1,1,1175,718,3299
1,1,1179,723,3303
1,1,1179,715,3306
1,1,1178,722,3309
1,1,1177,720,3313
1,1,1180,724,3316
1,1,1176,725,3319
1,1,1180,714,3323
1,1,1180,730,3326
1,1,1179,720,3329
1,1,1180,721,3333
1,1,1174,719,3336
1,1,1181,722,3339
1,1,1179,721,3343
1,1,1178,723,3346
1,1,1181,718,3349
1,1,1179,714,3353
1,1,1181,726,3356
1,1,1183,720,3359
1,1,1179,724,3363
1,1,1178,723,3366
1,1,1180,718,3369
1,1,1176,729,3373
1,1,1182,723,3376
1,1,1177,724,3379
1,1,1177,724,3383
1,1,1176,724,3386
1,1,1180,721,3389
1,1,1178,728,3393
1,1,1181,724,3396
1,1,1179,722,3399
1,1,1181,722,3403
1,1,1180,723,3406
1,1,1181,718,3409
1,1,1180,733,3413
1,1,1179,725,3416
1,1,1178,727,3419
1,1,1179,727,3423
1,1,1177,723,3426
1,1,1176,716,3429
1,1,1182,724,3433
1,1,1198,720,3436
1,1,1214,707,3439
1,1,1227,699,3443
1,1,1232,685,3446
1,1,1224,692,3449
1,1,1226,683,3453
1,1,1223,681,3456
1,1,1217,686,3459
1,1,1220,688,3463
1,1,1219,688,3466
1,1,1218,683,3469
1,1,1225,686,3473
1,1,1221,689,3476
1,1,1222,684,3479
1,1,1221,696,3483
1,1,1224,693,3486
1,1,1223,688,3489
1,1,1223,686,3493
1,1,1222,688,3496
